year,is_mt,sum,count,mean
1952,True,1,7,0.14285714285714285
1956,True,0,4,0.0
1957,True,0,2,0.0
1960,True,0,2,0.0
1961,True,0,2,0.0
1962,True,0,5,0.0
1963,True,0,1,0.0
1965,True,0,2,0.0
1967,True,2,3,0.6666666666666666
1969,False,0,2,0.0
1969,True,1,6,0.16666666666666666
1971,True,1,3,0.3333333333333333
1973,False,0,1,0.0
1974,True,0,1,0.0
1975,True,0,4,0.0
1976,False,0,1,0.0
1976,True,2,4,0.5
1977,True,0,5,0.0
1978,False,0,1,0.0
1978,True,2,6,0.3333333333333333
1979,False,0,1,0.0
1980,False,0,1,0.0
1980,True,2,10,0.2
1981,False,0,1,0.0
1981,True,6,12,0.5
1982,False,0,2,0.0
1982,True,3,14,0.21428571428571427
1983,False,0,3,0.0
1983,True,6,18,0.3333333333333333
1984,False,0,4,0.0
1984,True,9,26,0.34615384615384615
1985,True,7,15,0.4666666666666667
1986,False,0,2,0.0
1986,True,6,30,0.2
1987,False,0,1,0.0
1987,True,5,26,0.19230769230769232
1988,False,1,4,0.25
1988,True,6,37,0.16216216216216217
1989,False,0,1,0.0
1989,True,7,30,0.23333333333333334
1990,False,0,8,0.0
1990,True,5,35,0.14285714285714285
1991,False,1,7,0.14285714285714285
1991,True,8,33,0.24242424242424243
1992,False,0,9,0.0
1992,True,8,47,0.1702127659574468
1993,False,0,7,0.0
1993,True,11,58,0.1896551724137931
1994,False,1,8,0.125
1994,True,14,89,0.15730337078651685
1995,False,0,4,0.0
1995,True,16,45,0.35555555555555557
1996,False,2,10,0.2
1996,True,23,77,0.2987012987012987
1997,False,6,31,0.1935483870967742
1997,True,20,94,0.2127659574468085
1998,False,12,52,0.23076923076923078
1998,True,22,111,0.1981981981981982
1999,False,3,13,0.23076923076923078
1999,True,14,112,0.125
2000,False,15,52,0.28846153846153844
2000,True,15,93,0.16129032258064516
2001,False,17,37,0.4594594594594595
2001,True,41,136,0.3014705882352941
2002,False,15,44,0.3409090909090909
2002,True,29,97,0.29896907216494845
2003,False,19,66,0.2878787878787879
2003,True,52,187,0.27807486631016043
2004,False,41,98,0.41836734693877553
2004,True,48,183,0.26229508196721313
2005,False,38,91,0.4175824175824176
2005,True,68,271,0.25092250922509224
2006,False,39,104,0.375
2006,True,82,316,0.25949367088607594
2007,False,19,77,0.24675324675324675
2007,True,86,342,0.25146198830409355
2008,False,50,121,0.4132231404958678
2008,True,94,366,0.2568306010928962
2009,False,58,145,0.4
2009,True,127,455,0.27912087912087913
2010,False,98,187,0.5240641711229946
2010,True,155,550,0.2818181818181818
2011,False,76,179,0.4245810055865922
2011,True,155,541,0.28650646950092423
2012,False,78,173,0.4508670520231214
2012,True,220,646,0.34055727554179566
2013,False,110,203,0.541871921182266
2013,True,211,579,0.3644214162348877
2014,False,89,200,0.445
2014,True,236,661,0.35703479576399394
2015,False,96,219,0.4383561643835616
2015,True,252,598,0.4214046822742475
2016,False,169,337,0.5014836795252225
2016,True,282,755,0.37350993377483444
2017,False,148,301,0.49169435215946844
2017,True,195,580,0.33620689655172414
2018,False,278,551,0.5045372050816697
2018,True,272,852,0.3192488262910798
2019,False,285,693,0.41125541125541126
2019,True,275,936,0.2938034188034188
2020,False,457,934,0.4892933618843683
2020,True,394,1219,0.3232157506152584
2021,False,525,1077,0.48746518105849584
2021,True,330,1130,0.2920353982300885
2022,False,397,875,0.45371428571428574
2022,True,209,682,0.3064516129032258
2023,False,340,712,0.47752808988764045
2023,True,148,458,0.3231441048034934
2024,False,374,872,0.4288990825688073
2024,True,200,499,0.40080160320641284
2025,False,397,1018,0.3899803536345776
2025,True,257,643,0.39968895800933124
