year,median,mean,count
1998,3.5,3.1,10
2000,10.0,56.4,5
2001,2.0,3.3333333333333335,15
2002,3.0,4.111111111111111,9
2003,3.5,12.0,18
2004,2.0,3.066666666666667,15
2005,2.0,2.75,16
2006,2.0,3.125,16
2007,2.0,2.8636363636363638,22
2008,2.0,7.8,30
2009,3.0,9.40625,32
2010,3.0,7.8,45
2011,3.0,4.534883720930233,43
2012,2.0,10.30188679245283,53
2013,2.0,9.22,50
2014,2.0,16.350877192982455,57
2015,4.0,8.304347826086957,46
2016,2.5,19.17241379310345,58
2017,3.0,14.64,50
2018,3.0,6.867469879518072,83
2019,3.0,13.848101265822784,79
2020,3.0,11.96875,128
2021,3.0,16.076335877862597,131
2022,3.0,12.74766355140187,107
2023,3.0,12.301587301587302,63
2024,3.0,17.382978723404257,47
2025,3.0,12.8,35
