year,likert,ranking,categories,span,best_worst_scaling,direct_assessment,post_editing
2000,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.13333333333333333
2001,0.12816091954022987,0.06839080459770115,0.05114942528735632,0.0,0.0,0.0,0.17873563218390803
2002,0.10816788575409264,0.10619993033786139,0.05682688958551027,0.0,0.0,0.0,0.20249042145593868
2003,0.11880951329712863,0.11856299763050614,0.0738847925589062,0.0,0.0,0.0,0.23785818358426422
2004,0.10053494271725004,0.11404278582629586,0.08460415198031908,0.0,0.0,0.0,0.1931080867225827
2005,0.11239886495853076,0.06915999566048685,0.09332342013354951,0.0,0.0,0.0,0.1412212942697525
2006,0.12085732924285934,0.08700813130631775,0.100967078225351,0.0,0.0,0.0,0.08895729706337374
2007,0.12670715981179104,0.08244240988666375,0.0894814352790339,0.00634920634920635,0.0,0.0,0.11931221056435465
2008,0.14072707595434872,0.09681173203900477,0.0950719314355678,0.010978835978835979,0.0,0.0,0.14110641042459224
2009,0.15165701415701416,0.09152545402545403,0.11151151151151151,0.014582439582439584,0.0,0.0018018018018018018,0.19103567853567852
2010,0.14961171645954255,0.10301927421492639,0.13935516544212198,0.012185802403193708,0.0,0.0018018018018018018,0.20318198633416026
2011,0.13851864286646895,0.12920373789939008,0.1412791673661239,0.014771179988571291,0.0,0.004687804687804688,0.21920531485748876
2012,0.13660196108401537,0.14685897703113926,0.1248210985590618,0.016760417548278648,0.0,0.005123139351327271,0.23792470538895985
2013,0.134582579950453,0.14008255782075013,0.12875314556303077,0.016961534774995225,0.0,0.005123139351327271,0.24749624360738956
2014,0.14732095268882572,0.1330362707744631,0.12363826044814567,0.0251311429446034,0.0,0.0032627774909654104,0.285924482035628
2015,0.1381731216826286,0.1167013174457583,0.13190537968494784,0.03677968109163726,0.0,0.0010256410256410256,0.2730609473600128
2016,0.1380073426246681,0.13684577547487556,0.12003605963235904,0.04297337089599495,0.0,0.003982034225936665,0.2612399795326625
2017,0.140229066479045,0.12551588087967483,0.12506259772012163,0.039250563091554495,0.0,0.01656183537716639,0.20019490216105448
2018,0.1517685997427162,0.12088683176786712,0.13009220412903838,0.02746372923575512,0.0030303030303030303,0.025046683862014873,0.1520130839792363
2019,0.16115778779044085,0.10872338545807932,0.13558264864387312,0.029021114939482284,0.008387445887445886,0.030423623995052565,0.13894160261507202
2020,0.17800985344463605,0.11038381125337647,0.1495889226324009,0.03302714911410564,0.013871190501625283,0.03248602357298009,0.12989719250588816
2021,0.1962377464093711,0.11547330265865735,0.14845122991576085,0.043946872665408136,0.01824829487872966,0.03530721797312186,0.12749421536606892
2022,0.23159449637008148,0.12358268502546547,0.15088718779726326,0.04634354090366053,0.017841647071091756,0.041825369788303375,0.10390471355874532
2023,0.2592588321242248,0.12568805126126648,0.14992079018083002,0.05458280297399887,0.018505443440518913,0.03708648978213898,0.09362429771881416
2024,0.2928332831569556,0.15233121744230174,0.1530709419830999,0.0649216582422508,0.011098036033111505,0.03913700903419867,0.07771664240165947
2025,0.28715106355884906,0.18257919636863473,0.16621675197694333,0.08018189986274311,0.007166908975451614,0.03447920380413438,0.06149254292749188
