year,n,total,rate
1994,0,5,0.0
1996,2,10,0.2
1997,3,10,0.3
1998,11,19,0.5789473684210527
1999,4,6,0.6666666666666666
2000,5,12,0.4166666666666667
2001,19,42,0.4523809523809524
2002,10,23,0.43478260869565216
2003,22,44,0.5
2004,22,54,0.4074074074074074
2005,25,66,0.3787878787878788
2006,23,68,0.3382352941176471
2007,27,58,0.46551724137931033
2008,36,86,0.4186046511627907
2009,43,104,0.41346153846153844
2010,58,136,0.4264705882352941
2011,54,130,0.4153846153846154
2012,73,176,0.4147727272727273
2013,62,165,0.37575757575757573
2014,76,164,0.4634146341463415
2015,62,170,0.36470588235294116
2016,84,221,0.38009049773755654
2017,65,191,0.3403141361256545
2018,118,287,0.41114982578397213
2019,111,242,0.45867768595041325
2020,172,432,0.39814814814814814
2021,174,444,0.3918918918918919
2022,146,299,0.4882943143812709
2023,88,160,0.55
2024,73,146,0.5
2025,54,103,0.5242718446601942
